Wavelength,N I,N II,N III,O I,O II,O III
331.8097,,1.137e-3,,,,
332.4575,,1.153e-3,,,,
332.6055,,,,,,4.438e+0
332.703,,,4.629e+0,,,
332.722,,,4.628e+0,,,
332.8724,,6.606e-3,,,,
332.9701,,1.792e-4,,,,
333.011,,,3.578e+1,,,
333.0301,,,,,,2.754e+1
333.0317,,1.595e-3,,,,
333.0319,,,,,,1.328e+1
333.1307,,3.577e-3,,,,
333.2406,,,,,,1.324e+1
333.2928,,,,,,2.847e+1
333.307,,,1.072e+1,,,
333.6668,,,,,,9.111e+0
333.6686,,,,,,2.441e+0
334.0765,,,,,,3.834e+1
334.209,,,1.961e+1,,,
334.276,,,2.009e+1,,,
334.4197,,,,,,5.034e+0
334.451,,,,,,1.354e+1
334.798,,,,,,1.348e+1
335.0617,,,,,,2.703e+1
335.0921,,,,,,5.569e+1
335.398,,,9.107e+1,,,
335.432,,,9.818e+1,,,
335.546,,,3.956e+1,,,
335.5858,,,,,,2.672e+1
335.878,,,1.811e+1,,,
336.098,,,2.895e+1,,,
336.2312,,,,,,2.752e+1
336.58,,,9.009e+1,,,
336.736,,,2.254e+2,,,
337.407,,,9.608e+1,,,
337.6612,,,,,,8.239e+0
337.6765,,,,,,1.858e+1
337.7146,,,,,1.985e-3,
337.7264,,,,,,1.438e+1
338.2612,,,,,,3.809e+1
338.3311,,,,,,6.126e+0
338.3812,,,,,,2.378e+1
338.4901,,,,,,7.340e+1
339.0209,,,,,3.902e-3,
339.422,,,,,,1.879e+1
339.5428,,,,,,2.681e+0
340.5718,,,,,,7.427e+0
340.7223,,,,,2.344e-4,
340.7276,,,,,3.290e-3,
340.8127,,3.164e-4,,,,
340.8131,,,,,,7.416e+0
340.9706,,,,,2.100e-3,
340.976,,,,,2.334e-4,
341.5262,,,,,,5.526e+0
342.3364,,,,,,7.489e+0
342.7364,,,,,,1.676e+1
342.8626,,,,,,9.059e+0
343.0568,,,,,,9.054e+0
343.5123,,,,,,5.546e+0
343.7145,,3.137e-3,,,,
344.0363,,,,,,3.079e+1
344.4052,,,,,,2.674e+1
344.6682,,,,,,2.749e+1
344.7155,,,,,,1.375e+1
344.7924,,,,,,5.473e+0
344.7968,,,,,,4.712e+1
345.0907,,,,,,7.318e+1
345.1305,,,,,,1.368e+1
345.4835,,,,,,1.946e+1
345.4986,,,,,,1.066e+2
345.7933,,,,,2.983e-4,
345.8923,,,,,2.097e-4,
345.948,,,,,,1.930e+0
345.9935,,,,,,2.028e+1
346.6128,,,,,,1.437e+1
346.685,,,,,,1.920e+0
347.0277,,,,,1.456e-3,
347.0672,,,,,2.299e-3,
352.0945,,,,,,3.048e+0
353.1223,,,,,,3.004e+0
353.3385,,,,,,2.247e+0
353.4904,,,,,,3.744e+0
355.5241,,,,,,3.662e+0
355.6779,,,,,,1.093e+1
359.3597,,7.563e-4,,,,
360.9097,,5.273e-4,,,,
361.5864,,1.905e-4,,,,
362.741,,,,,1.553e-4,
369.5162,,,,,,1.257e+1
369.5375,,,,,,1.516e+1
369.8718,,,,,,4.025e+1
370.2743,,,,,,1.986e+1
370.3355,,,,,,7.719e+1
370.4749,,,,,,1.932e+1
370.7272,,,,,,4.450e+1
370.9543,,,,,,8.522e+0
371.2493,,,,,,2.480e+1
371.2744,,,,,9.735e-4,
371.4028,,,,,,1.475e+1
371.5086,,,,,,8.234e+1
372.089,,,,,,1.964e+1
372.1954,,,,,,6.311e+0
372.5313,,,,,,1.454e+1
372.7319,,,,,1.989e-3,
372.8506,,,,,,4.339e+1
372.8838,,,,,,6.260e+1
372.9221,,,,,4.794e-4,
372.9802,,,,,,2.934e+1
373.483,,,,,,2.768e+0
373.5786,,,,,8.591e-4,
373.9761,,,,,1.124e-3,
374.164,,,,,1.848e-4,
374.2632,,,,,,5.368e+0
374.595,,,2.102e+1,,,
374.6899,,,,,,5.322e+0
374.9484,,,,,3.144e-3,
375.469,,,4.173e+1,,,
375.4696,,,,,,6.810e+1
375.7232,,,,,,3.020e+1
375.9875,,,,,,1.234e+2
376.1403,,,,,1.342e-4,
376.2465,,,,,7.790e-4,
376.26,,,3.554e+0,,,
377.103,,,6.144e+1,,,
377.136,,,6.924e+0,,,
377.4026,,,,,,2.114e+1
377.742,,,,,2.819e-4,
378.498,,,,,1.395e-4,
379.1275,,,,,,2.006e+1
379.297,,,1.285e+1,,,
379.4359,,,,,1.672e-4,
380.2984,,,,,8.292e-4,
381.6751,,,,,,3.178e+0
382.1532,,,,,3.262e-4,
382.2034,5.545e-10,,,,,
382.9795,,1.419e-3,,,,
383.0281,,,,,1.609e-4,
383.0434,1.396e-9,,,,,
383.8374,,4.085e-3,,,,
384.2187,,1.075e-3,,,,
384.28138,,,,,2.154e-4,
384.35832,,,,,1.410e-4,
384.7404,,7.788e-4,,,,
384.7893,,,,,2.475e-4,
385.07987,,,,,1.349e-4,
385.10332,,,,,4.019e-4,
385.14735,,,,,1.434e-4,
385.5014,,,,3.999e-10,,
385.5096,,1.030e-3,,,,
385.6062,,1.299e-3,,,,
385.61342,,,,,3.236e-4,
385.71642,,,,,2.608e-4,
386.34969,,,,,3.157e-4,
386.44309,,,,,8.142e-4,
386.46671,,,,,5.033e-4,
387.57997,,,,,1.331e-4,
388.21937,,,,,2.675e-3,
388.24457,,,,,2.351e-4,
388.31368,,,,,4.209e-4,
388.7572,6.193e-10,,,,,
389.2205,1.109e-9,,,,,
390.3044,,,,,,4.686e+0
390.74549,,,,,3.389e-4,
391.1958,,,,,2.845e-3,
391.2117,,,,,3.680e-4,
391.3892,,9.337e-4,,,,
391.5414,,1.737e-3,,,,
391.5572,,4.144e-4,,,,
391.9001,,2.821e-3,,,,
391.9272,,,,,1.590e-3,
391.9648,,3.099e-4,,,,
392.464,,3.074e-4,,,,
393.1351,,,,,,4.556e+0
393.45,,,6.133e+1,,,
393.4823,,,,,,2.536e+1
393.851,,,1.099e+2,,,
394.288,,,1.217e+1,,,
394.4854,,,,,,5.989e+0
394.50376,,,,,6.527e-4,
394.8012,,,,,,1.346e+1
395.43617,,,,,1.389e-3,
395.5851,,9.081e-4,,,,
396.1573,,,,,,9.385e+1
396.2963,,,,,1.699e-4,
397.3256,,,,,3.289e-3,
398.27141,,,,,6.696e-4,
399.4997,,9.066e-3,,,,
399.7953,,,,3.460e-10,,
399.863,,,1.921e+2,,,
400.358,,,2.733e+2,,,
400.372,,,1.363e+1,,,
406.9623,,,,,3.618e-3,
406.98819,,,,,5.651e-3,
407.21525,,,,,9.100e-3,
407.2643,,,,,,6.208e+0
407.3984,,,,,,1.392e+1
407.58617,,,,,1.255e-2,
407.88424,,,,,1.324e-3,
408.102,,,,,,2.575e+1
408.46474,,,,,3.620e-4,
408.51124,,,,,1.640e-3,
408.9295,,,,,,4.569e+0
409.29287,,,,,1.239e-3,
409.6526,,,,,6.447e-4,
409.72249,,,,,9.419e-4,
409.736,,,2.058e+2,,,
409.9943,9.940e-10,,,,,
410.29994,,,,,6.605e-4,
410.3066,,,,,,4.505e+0
410.339,,,1.024e+2,,,
410.47235,,,,,1.224e-3,
410.49899,,,,,2.369e-3,
410.79,4.607e-10,,,,,
410.9949,1.666e-9,,,,,
411.0192,,,,,4.893e-4,
411.07863,,,,,9.975e-4,
411.20186,,,,,6.719e-4,
411.3834,,,,,6.957e-4,
411.92165,,,,,6.872e-3,
412.02783,,,,,8.341e-4,
412.05468,,,,,7.290e-4,
412.14626,,,,,6.930e-4,
412.1591,,,,,,4.218e+0
412.4081,,1.156e-3,,,,
412.93198,,,,,2.038e-4,
413.163,,,9.639e+0,,,
413.28004,,,,,2.075e-3,
413.3673,,1.910e-3,,,,
413.383,,,1.783e+0,,,
413.607,,,4.932e+0,,,
413.64,,,2.456e+1,,,
414.159,,,1.134e+1,,,
414.18,,,9.785e+0,,,
414.212,,,4.881e+0,,,
414.5774,,2.644e-3,,,,
414.613,,,8.826e+0,,,
414.678,,,4.220e+1,,,
415.1481,2.960e-10,,,,,
415.21,,,2.207e+1,,,
415.32977,,,,,2.687e-3,
415.393,,,8.758e+0,,,
415.65302,,,,,4.765e-4,
416.92236,,,,,9.155e-4,
417.1768,,,,,,2.422e+0
418.544,,,,,7.265e-3,
418.9581,,,,,2.683e-4,
418.9788,,,,,9.405e-3,
419.2512,,,,,6.006e-4,
419.574,,,8.512e+1,,,
419.6697,,,,,3.327e-4,
420.007,,,1.523e+2,,,
421.577,,,1.673e+1,,,
422.7736,,3.394e-3,,,,
424.987,3.161e-10,,,,,
426.4,5.498e-10,,,,,
427.328,2.982e-10,,,,,
427.7695,,,,,1.857e-4,
427.813,1.217e-9,,,,,
427.9165,,,,,1.031e-4,
429.321,1.892e-9,,,,,
431.7139,,,,,1.174e-3,
431.878,,,4.116e+0,,,
431.963,,,,,1.185e-3,
431.9866,,,,,4.988e-4,
432.122,,,4.114e+0,,,
432.139,,,5.746e+0,,,
432.543,,,6.545e+0,,,
432.5761,,,,,2.262e-4,
432.746,,,,,1.855e-3,
432.769,,,4.652e+0,,,
432.7849,,,,,1.324e-4,
432.788,,,4.070e+0,,,
432.8591,,,,,9.921e-4,
433.1466,,,,,1.321e-4,
433.1857,,,,,1.188e-3,
433.295,,,1.401e+1,,,
433.6859,,,,,4.859e-4,
433.701,,,5.669e+0,,,
434.556,,,,,1.261e-3,
434.581,,,2.755e+1,,,
434.7217,,,,,2.885e-4,
434.7413,,,,,2.260e-3,
434.9426,,,,,3.202e-3,
435.111,,,4.549e+0,,,
435.126,,,,,3.594e-3,
435.1457,,,,,2.115e-4,
435.629,2.444e-9,,,,,
435.6794,,,,,,3.878e+0
436.6895,,,,,1.236e-3,
436.9272,,,,,8.151e-4,
437.5876,,,,,,2.050e+0
439.5935,,,,,1.330e-3,
441.4899,,,,,3.804e-3,
441.6975,,,,,2.148e-3,
441.949,,,6.375e+0,,,
443.511,3.496e-10,,,,,
444.0093,,,,,,5.545e+0
444.245,8.896e-10,,,,,
444.292,,,4.170e+0,,,
444.301,,,,,1.381e-3,
444.703,,6.374e-3,,,,
444.7694,,,,,,9.189e+0
444.8191,,,,,1.857e-3,
445.2378,,,,,4.076e-4,
445.712,,,2.064e+0,,,
446.1607,,,,,,1.272e+1
446.6235,,,,,1.596e-3,
446.7465,,,,,7.981e-4,
447.7682,,2.135e-4,,,,
449.337,,,,,,3.285e+0
450.664,,,,,,2.246e+0
450.756,,4.059e-4,,,,
451.088,,,2.760e+1,,,
451.096,,,6.948e+1,,,
451.3827,,,,,,1.510e+0
451.485,,,1.318e+2,,,
451.814,,,2.742e+1,,,
452.356,,,3.499e+1,,,
452.4222,,,,,,1.355e+0
452.786,,,1.914e+1,,,
452.854,,,9.364e+0,,,
453.086,,,5.421e+0,,,
453.2785,,,,,,1.681e+0
453.458,,,2.913e+1,,,
453.505,,,3.811e+1,,,
