Wavelength,H I,O I,O II,O III
715.6701,,1.655e+5,,
719.025,,,,2.499e-22
725.4154,,2.532e+4,,
725.4448,,4.217e+4,,
728.0251,,,1.077e-4,
730.685,,,,1.934e-21
730.712,,,,2.397e-21
736.535,,,,1.405e-21
741.404,,,,1.848e-21
745.536,,,,6.616e-21
751.599,,,,2.161e-21
753.0611,,,1.640e-4,
771.095,,,,1.656e-21
777.1944,,6.428e+6,,
777.4166,,4.592e+6,,
777.5388,,2.756e+6,,
782.068,,,,2.777e-22
783.237,,,,8.313e-22
783.938,,,,1.382e-21
784.794,,,,3.650e-22
787.354,,,,5.535e-22
796.332,,,,9.355e-22
817.215,,,,6.167e-21
822.1798,,2.191e+4,,
822.1824,,1.745e+5,,
822.7653,,2.101e+4,,
823.0001,,9.737e+4,,
823.0026,,2.184e+4,,
823.3003,,6.277e+4,,
823.5354,,2.093e+4,,
828.83,,,4.206e-5,
834.27,,,4.974e-5,
835.886,,,,2.404e-21
837.5844,,,1.796e-4,
838.177,,,3.845e-5,
840.3379,,,9.465e-5,
841.588,,,3.788e-5,
844.6247,,5.754e+5,,
844.6359,,2.877e+6,,
844.6758,,1.726e+6,,
882.0423,,1.512e+5,,
899.93,,,,1.047e-21
911.614,,,,2.903e-21
911.94,,,,6.703e-26
912.138,,,,6.726e-26
913.329,,,,4.080e-21
917.421,,,,1.956e-21
922.134,,,,3.319e-25
922.521,,,,1.579e-21
922.647,,,,6.728e-26
922.9014,1.185e+4,,,
924.508,,,,3.355e-25
924.812,,,,6.606e-26
926.0806,,2.444e+5,,
926.0848,,5.492e+5,,
926.0936,,4.275e+5,,
926.2582,,1.825e+5,,
926.267,,7.124e+5,,
926.2776,,1.139e+6,,
926.545,,,,3.489e-22
926.553,,,,1.088e-25
926.5826,,8.135e+4,,
926.5932,,5.675e+5,,
926.6006,,2.194e+6,,
929.14,,,,3.380e-22
931.111,,,,1.297e-25
937.53,,,,3.122e-25
938.806,,,,6.312e-25
947.571,,,,3.075e-25
948.2888,,5.309e+4,,
954.5969,1.754e+4,,,
956.512,,,,2.621e-22
959.456,,,9.817e-5,
961.18,,,5.553e-5,
982.5789,,2.157e+4,,
982.5872,,1.475e+4,,
982.5991,,9.433e+3,,
989.1647,,7.849e+3,,
989.1715,,1.160e+4,,
989.1803,,1.674e+4,,
990.706,,,3.348e-5,
1004.9369,2.771e+4,,,
1011.874,,,,1.624e-21
1025.134,,,,1.380e-21
1025.278,,,,3.058e-21
1032.177,,,,5.428e-21
1036.687,,,,9.894e-22
1054.702,,,,9.110e-22
1067.5668,,3.882e+4,,
1067.5766,,3.395e+4,,
1067.5906,,1.699e+4,,
1067.6023,,9.901e+3,,
1075.3417,,1.412e+4,,
1075.3498,,2.090e+4,,
1075.3602,,3.033e+4,,
1093.8086,4.791e+4,,,
